"EMPLID","ACAD_CAREER","TERM","TERM_DESCR","FALL_COHORT_DESCR","CLASS_NBR","CLASS_NBR_STR","STDNT_ENRL_STATUS","CRSE_GRADE_OFF","CRSE_GRADE_MODIFIED","DFW_FLAG","TERM_TYPE","CLASS_DESCR","SUBJECT","DESCR_SUBJECT_MISMATCH"
"10000000018",GRAD,"1140",Fall Semester 2025,Fall Semester 2025,33410,"33410",EN,C,C,0,FALL,Workshop: ENGL,ENGL,0
"10000000019",GRAD,"0940",Spring Semester 2019,,36113,"36113",EN,A,A,0,SPRING,Seminar in HIST,HIST,0
"10000000020",LAW,"1100",Summer Semester 2024,,32403,"32403",DR,A,N,0,SUMMER,Lab in MATH,MATH,0
"10000000021",LAW,"1040",Summer Semester 2022,,53448,"53448",WL,N,N,1,SUMMER,Special Topics in CS,ENGL,1
"10000000022",UGRD,"0950",Summer Semester 2019,,44168,"44168",EN,,N,0,SUMMER,Topics in BIO,BIO,0
"10000000023",UGRD,"1040",Summer Semester 2022,,52580,"52580",DR,A,N,0,SUMMER,Seminar in HIST,HIST,0
"10000000024",GRAD,"0850",Spring Semester 2016,,51950,"51950",DR,N,N,0,SPRING,Topics in BIO,BIO,0
"10000000025",GRAD,"1110",Fall Semester 2024,,42271,"42271",WL,P,N,1,FALL,Intro to ENGL,BIO,1
"10000000026",GRAD,"0900",Fall Semester 2017,Fall Semester 2017,43511,"43511",EN,P,P,0,FALL,Fundamentals of BIO,BIO,0
"10000000027",LAW,"0810",Fall Semester 2014,,32296,"32296",DR,N,N,0,FALL,Special Topics in MATH,MATH,0
"10000000028",GRAD,"1130",Summer Semester 2025,,48321,"48321",DR,N,N,0,SUMMER,Workshop: PHYS,PHYS,0
"10000000029",UGRD,"0870",Fall Semester 2016,,49652,"49652",DR,A,N,0,FALL,Lab in HIST,HIST,0
"10000000030",UGRD,"1100",Summer Semester 2024,,53233,"53233",EN,C,C,0,SUMMER,Special Topics in MATH,MATH,0
"10000000031",LAW,"0880",Spring Semester 2017,,53264,"53264",WL,N,N,1,SPRING,Topics in PHYS,PHYS,0
"10000000032",LAW,"0990",Fall Semester 2020,Fall Semester 2020,35335,"35335",EN,C,C,0,FALL,Survey of BIO,BIO,0
"10000000033",UGRD,"1190",Summer Semester 2027,,37468,"37468",EN,N,N,0,SUMMER,Lab in PSYC,PSYC,0
"10000000034",LAW,"0940",Spring Semester 2019,,40184,"40184",DR,C,N,0,SPRING,Principles of ECON,CHEM,1
"10000000035",UGRD,"0870",Fall Semester 2016,,39027,"39027",WL,N,N,1,FALL,Advanced CHEM,ECON,1
"10000000036",GRAD,"1190",Summer Semester 2027,,52281,"52281",EN,C,C,0,SUMMER,Lab in BIO,BIO,0
"10000000037",GRAD,"0870",Fall Semester 2016,,36816,"36816",WL,N,N,1,FALL,Principles of CHEM,CHEM,0
"10000000038",LAW,"0970",Spring Semester 2020,,30289,"30289",WL,B,N,1,SPRING,Survey of HIST,HIST,0
"10000000039",GRAD,"0880",Spring Semester 2017,,46072,"46072",WL,C,N,1,SPRING,Fundamentals of ENGL,CS,1
"10000000040",LAW,"1160",Summer Semester 2026,,36012,"36012",DR,N,N,0,SUMMER,Intro to HIST,HIST,0
"10000000041",LAW,"0970",Spring Semester 2020,,41765,"41765",WL,P,N,1,SPRING,Seminar in ART,ART,0
"10000000042",LAW,"1160",Summer Semester 2026,,58369,"58369",WL,A,N,1,SUMMER,Survey of MATH,MATH,0
"10000000043",UGRD,"0890",Summer Semester 2017,,45519,"45519",DR,A,N,0,SUMMER,Survey of ART,CHEM,1
"10000000044",LAW,"1130",Summer Semester 2025,,42009,"42009",DR,N,N,0,SUMMER,Seminar in ECON,ECON,0
"10000000045",GRAD,"0810",Fall Semester 2014,,40611,"40611",DR,,N,0,FALL,Topics in PSYC,PSYC,0
"10000000046",GRAD,"1010",Summer Semester 2021,,57132,"57132",WL,P,N,1,SUMMER,Seminar in CHEM,CHEM,0
"10000000047",UGRD,"1120",Spring Semester 2025,,34297,"34297",WL,C,N,1,SPRING,Advanced PSYC,PSYC,0
"10000000048",GRAD,"1190",Summer Semester 2027,,31635,"31635",DR,N,N,0,SUMMER,Seminar in ECON,ECON,0
"10000000049",LAW,"1090",Spring Semester 2024,,45972,"45972",EN,A,A,0,SPRING,Lab in PSYC,PSYC,0
"10000000050",UGRD,"0960",Fall Semester 2019,Fall Semester 2019,37364,"37364",EN,B,B,0,FALL,Advanced CS,CS,0
"10000000051",UGRD,"1190",Summer Semester 2027,,37468,"37468",DR,N,N,0,SUMMER,Lab in PSYC,PSYC,0
"10000000052",LAW,"1060",Spring Semester 2023,,49851,"49851",WL,,N,1,SPRING,Workshop: ENGL,ENGL,0
"10000000053",LAW,"0820",Spring Semester 2015,,48416,"48416",DR,C,N,0,SPRING,Topics in PHYS,PHYS,0
"10000000054",UGRD,"1020",Fall Semester 2021,,39540,"39540",DR,A,N,0,FALL,Seminar in ENGL,ENGL,0
"10000000055",LAW,"0970",Spring Semester 2020,,57687,"57687",DR,C,N,0,SPRING,Principles of HIST,ART,1
"10000000056",LAW,"1110",Fall Semester 2024,Fall Semester 2024,41480,"41480",EN,C,C,0,FALL,Principles of PHYS,PHYS,0
"10000000057",UGRD,"0810",Fall Semester 2014,,40524,"40524",WL,B,N,1,FALL,Seminar in CHEM,CHEM,0
"10000000058",UGRD,"1000",Spring Semester 2021,,56886,"56886",WL,P,N,1,SPRING,Seminar in MATH,MATH,0
"10000000059",GRAD,"1180",Spring Semester 2027,,49288,"49288",EN,B,B,0,SPRING,Workshop: MATH,MATH,0
"10000000060",LAW,"0850",Spring Semester 2016,,51658,"51658",WL,,N,1,SPRING,Lab in CHEM,CHEM,0
"10000000061",GRAD,"0930",Fall Semester 2018,Fall Semester 2018,37711,"37711",EN,A,A,0,FALL,Workshop: BIO,PHYS,1
"10000000062",GRAD,"0910",Spring Semester 2018,,51763,"51763",DR,,N,0,SPRING,Lab in CHEM,CHEM,0
"10000000063",LAW,"0870",Fall Semester 2016,,53030,"53030",DR,A,N,0,FALL,Principles of ECON,ECON,0
"10000000064",UGRD,"0930",Fall Semester 2018,,52990,"52990",WL,B,N,1,FALL,Topics in PSYC,PSYC,0
"10000000065",GRAD,"1000",Spring Semester 2021,,52381,"52381",EN,C,C,0,SPRING,Workshop: ENGL,ENGL,0
"10000000066",LAW,"0930",Fall Semester 2018,,42211,"42211",WL,N,N,1,FALL,Lab in HIST,HIST,0
"10000000067",UGRD,"1030",Spring Semester 2022,,43774,"43774",DR,P,N,0,SPRING,Workshop: ENGL,BIO,1
"10000000068",UGRD,"1180",Spring Semester 2027,,42946,"42946",EN,C,C,0,SPRING,Survey of ENGL,ENGL,0
"10000000069",LAW,"1040",Summer Semester 2022,,30853,"30853",WL,N,N,1,SUMMER,Fundamentals of PHYS,PHYS,0
"10000000070",UGRD,"1080",Fall Semester 2023,,59885,"59885",DR,N,N,0,FALL,Topics in MATH,MATH,0
"10000000071",UGRD,"1170",Fall Semester 2026,,40544,"40544",DR,P,N,0,FALL,Special Topics in PSYC,PSYC,0
"10000000072",GRAD,"1020",Fall Semester 2021,,52607,"52607",WL,B,N,1,FALL,Seminar in ENGL,ENGL,0
"10000000073",GRAD,"1140",Fall Semester 2025,,32862,"32862",WL,A,N,1,FALL,Topics in PHYS,PHYS,0
"10000000074",LAW,"0890",Summer Semester 2017,,43909,"43909",EN,C,C,0,SUMMER,Intro to ENGL,ENGL,0
"10000000075",LAW,"0870",Fall Semester 2016,Fall Semester 2016,59954,"59954",EN,C,C,0,FALL,Special Topics in PHYS,PHYS,0
"10000000076",LAW,"0920",Summer Semester 2018,,53882,"53882",DR,N,N,0,SUMMER,Fundamentals of HIST,HIST,0
"10000000077",UGRD,"0890",Summer Semester 2017,,31088,"31088",DR,C,N,0,SUMMER,Topics in CHEM,CHEM,0
"10000000078",UGRD,"1170",Fall Semester 2026,,34094,"34094",DR,B,N,0,FALL,Intro to CS,CS,0
"10000000079",GRAD,"0830",Summer Semester 2015,,36494,"36494",DR,B,N,0,SUMMER,Special Topics in PSYC,PSYC,0
"10000000080",LAW,"0960",Fall Semester 2019,,38838,"38838",DR,N,N,0,FALL,Survey of BIO,BIO,0
"10000000081",LAW,"0870",Fall Semester 2016,,50962,"50962",WL,P,N,1,FALL,Lab in ECON,CHEM,1
"10000000082",LAW,"1140",Fall Semester 2025,,46536,"46536",DR,B,N,0,FALL,Seminar in CHEM,CHEM,0
"10000000083",UGRD,"1100",Summer Semester 2024,,56294,"56294",WL,N,N,1,SUMMER,Lab in MATH,MATH,0
"10000000084",UGRD,"1020",Fall Semester 2021,,50339,"50339",WL,,N,1,FALL,Topics in CS,CHEM,1
"10000000085",UGRD,"1000",Spring Semester 2021,,52381,"52381",WL,N,N,1,SPRING,Workshop: ENGL,ENGL,0
"10000000086",LAW,"1130",Summer Semester 2025,,51282,"51282",EN,P,P,0,SUMMER,Advanced BIO,PSYC,1
"10000000087",UGRD,"1190",Summer Semester 2027,,50413,"50413",EN,,N,0,SUMMER,Principles of ECON,CS,1
"10000000088",UGRD,"0970",Spring Semester 2020,,53260,"53260",DR,N,N,0,SPRING,Fundamentals of MATH,ART,1
"10000000089",LAW,"0980",Summer Semester 2020,,38566,"38566",WL,N,N,1,SUMMER,Advanced PHYS,ART,1
"10000000090",GRAD,"0960",Fall Semester 2019,,38298,"38298",DR,,N,0,FALL,Seminar in CHEM,CHEM,0
"10000000091",LAW,"0830",Summer Semester 2015,,59511,"59511",DR,A,N,0,SUMMER,Advanced ECON,ECON,0
"10000000092",GRAD,"1140",Fall Semester 2025,Fall Semester 2025,43141,"43141",EN,,N,0,FALL,Intro to ART,ART,0
"10000000093",UGRD,"0890",Summer Semester 2017,,36675,"36675",DR,A,N,0,SUMMER,Topics in BIO,BIO,0
"10000000094",GRAD,"1190",Summer Semester 2027,,34124,"34124",WL,,N,1,SUMMER,Principles of PHYS,PHYS,0
"10000000095",LAW,"1010",Summer Semester 2021,,49132,"49132",WL,C,N,1,SUMMER,Lab in ENGL,CS,1
"10000000096",GRAD,"1110",Fall Semester 2024,,50159,"50159",DR,C,N,0,FALL,Intro to BIO,BIO,0
"10000000097",GRAD,"0850",Spring Semester 2016,,48210,"48210",WL,A,N,1,SPRING,Topics in ENGL,ENGL,0
"10000000098",GRAD,"1160",Summer Semester 2026,,45553,"45553",EN,,N,0,SUMMER,Fundamentals of ECON,ECON,0
"10000000099",GRAD,"0880",Spring Semester 2017,,37825,"37825",DR,,N,0,SPRING,Intro to HIST,BIO,1
"10000000100",GRAD,"0920",Summer Semester 2018,,49560,"49560",DR,,N,0,SUMMER,Principles of BIO,BIO,0
"10000000101",LAW,"1110",Fall Semester 2024,Fall Semester 2024,35102,"35102",EN,,N,0,FALL,Lab in CHEM,CHEM,0
"10000000102",LAW,"0930",Fall Semester 2018,,46214,"46214",WL,A,N,1,FALL,Survey of ENGL,ENGL,0
"10000000103",LAW,"0850",Spring Semester 2016,,49203,"49203",EN,A,A,0,SPRING,Fundamentals of CS,CS,0
"10000000104",LAW,"0950",Summer Semester 2019,,37631,"37631",DR,B,N,0,SUMMER,Principles of MATH,MATH,0
"10000000105",UGRD,"1190",Summer Semester 2027,,52352,"52352",WL,N,N,1,SUMMER,Topics in PSYC,HIST,1
"10000000106",GRAD,"0890",Summer Semester 2017,,39506,"39506",EN,N,N,0,SUMMER,Topics in CHEM,CHEM,0
"10000000107",GRAD,"0890",Summer Semester 2017,,37977,"37977",EN,N,N,0,SUMMER,Special Topics in ART,ART,0
"10000000108",LAW,"0810",Fall Semester 2014,,52383,"52383",WL,N,N,1,FALL,Advanced PSYC,PSYC,0
"10000000109",UGRD,"0900",Fall Semester 2017,,49412,"49412",DR,N,N,0,FALL,Survey of PSYC,PHYS,1
"10000000110",GRAD,"0940",Spring Semester 2019,,54319,"54319",WL,P,N,1,SPRING,Topics in ECON,ECON,0
"10000000111",UGRD,"0870",Fall Semester 2016,,35030,"35030",WL,N,N,1,FALL,Intro to MATH,MATH,0
"10000000112",GRAD,"0870",Fall Semester 2016,Fall Semester 2016,41976,"41976",EN,C,C,0,FALL,Seminar in ART,ART,0
"10000000113",GRAD,"0840",Fall Semester 2015,Fall Semester 2015,36234,"36234",EN,P,P,0,FALL,Workshop: PSYC,PSYC,0
"10000000114",GRAD,"0980",Summer Semester 2020,,53229,"53229",EN,N,N,0,SUMMER,Fundamentals of BIO,BIO,0
"10000000115",LAW,"1140",Fall Semester 2025,,58679,"58679",DR,A,N,0,FALL,Seminar in CHEM,ECON,1
"10000000116",GRAD,"1100",Summer Semester 2024,,50263,"50263",EN,,N,0,SUMMER,Seminar in HIST,HIST,0
"10000000117",UGRD,"1190",Summer Semester 2027,,31852,"31852",EN,B,B,0,SUMMER,Seminar in BIO,BIO,0
"10000000118",GRAD,"1070",Summer Semester 2023,,53456,"53456",EN,P,P,0,SUMMER,Lab in HIST,HIST,0
"10000000119",GRAD,"0920",Summer Semester 2018,,47694,"47694",WL,P,N,1,SUMMER,Topics in HIST,HIST,0
"10000000120",UGRD,"1060",Spring Semester 2023,,34322,"34322",DR,,N,0,SPRING,Workshop: BIO,BIO,0
"10000000121",UGRD,"1150",Spring Semester 2026,,35805,"35805",DR,P,N,0,SPRING,Topics in CS,CS,0
"10000000122",GRAD,"1100",Summer Semester 2024,,48979,"48979",DR,N,N,0,SUMMER,Topics in MATH,MATH,0
"10000000123",GRAD,"1100",Summer Semester 2024,,31670,"31670",DR,,N,0,SUMMER,Lab in HIST,HIST,0
"10000000124",LAW,"1140",Fall Semester 2025,,43563,"43563",WL,P,N,1,FALL,Survey of PSYC,PSYC,0
"10000000125",LAW,"1110",Fall Semester 2024,Fall Semester 2024,47335,"47335",EN,C,C,0,FALL,Advanced CHEM,CHEM,0
"10000000126",LAW,"0890",Summer Semester 2017,,30433,"30433",EN,A,A,0,SUMMER,Seminar in ENGL,PSYC,1
"10000000127",GRAD,"0880",Spring Semester 2017,,55767,"55767",WL,N,N,1,SPRING,Workshop: ENGL,BIO,1
"10000000128",LAW,"1100",Summer Semester 2024,,53912,"53912",DR,,N,0,SUMMER,Survey of PHYS,PHYS,0
"10000000129",GRAD,"1140",Fall Semester 2025,Fall Semester 2025,36873,"36873",EN,B,B,0,FALL,Workshop: HIST,HIST,0
"10000000130",LAW,"1100",Summer Semester 2024,,58140,"58140",EN,P,P,0,SUMMER,Intro to BIO,BIO,0
"10000000131",GRAD,"0890",Summer Semester 2017,,46205,"46205",WL,C,N,1,SUMMER,Special Topics in ECON,ECON,0
"10000000132",UGRD,"0810",Fall Semester 2014,,47741,"47741",WL,B,N,1,FALL,Fundamentals of ECON,ECON,0
"10000000133",LAW,"0870",Fall Semester 2016,,41003,"41003",WL,A,N,1,FALL,Lab in MATH,MATH,0
"10000000134",UGRD,"1040",Summer Semester 2022,,57320,"57320",EN,B,B,0,SUMMER,Principles of HIST,HIST,0
"10000000135",UGRD,"0990",Fall Semester 2020,Fall Semester 2020,44369,"44369",EN,,N,0,FALL,Survey of ECON,ECON,0
"10000000136",UGRD,"0860",Summer Semester 2016,,54049,"54049",DR,N,N,0,SUMMER,Fundamentals of PSYC,PSYC,0
"10000000137",UGRD,"0970",Spring Semester 2020,,38589,"38589",EN,C,C,0,SPRING,Special Topics in ART,ECON,1
"10000000138",UGRD,"0920",Summer Semester 2018,,36052,"36052",DR,N,N,0,SUMMER,Fundamentals of CS,CS,0
"10000000139",UGRD,"0830",Summer Semester 2015,,48563,"48563",EN,,N,0,SUMMER,Seminar in ENGL,PHYS,1
"10000000140",LAW,"0940",Spring Semester 2019,,52793,"52793",DR,P,N,0,SPRING,Intro to CHEM,CHEM,0
"10000000141",LAW,"1070",Summer Semester 2023,,34523,"34523",EN,C,C,0,SUMMER,Seminar in CHEM,ENGL,1
"10000000142",GRAD,"0970",Spring Semester 2020,,32541,"32541",EN,N,N,0,SPRING,Seminar in PHYS,PHYS,0
"10000000143",LAW,"1060",Spring Semester 2023,,56166,"56166",DR,N,N,0,SPRING,Topics in BIO,BIO,0
"10000000144",GRAD,"1170",Fall Semester 2026,Fall Semester 2026,34027,"34027",EN,B,B,0,FALL,Lab in ENGL,PSYC,1
"10000000145",GRAD,"1170",Fall Semester 2026,Fall Semester 2026,35336,"35336",EN,A,A,0,FALL,Seminar in BIO,BIO,0
"10000000146",UGRD,"0900",Fall Semester 2017,,53852,"53852",WL,C,N,1,FALL,Advanced ENGL,ENGL,0
"10000000147",GRAD,"0830",Summer Semester 2015,,49043,"49043",WL,,N,1,SUMMER,Intro to BIO,BIO,0
"10000000148",GRAD,"0990",Fall Semester 2020,,45517,"45517",DR,A,N,0,FALL,Survey of ART,ART,0
"10000000149",LAW,"1050",Fall Semester 2022,Fall Semester 2022,59472,"59472",EN,C,C,0,FALL,Lab in CHEM,CHEM,0
"10000000150",UGRD,"1000",Spring Semester 2021,,44853,"44853",WL,C,N,1,SPRING,Seminar in HIST,HIST,0
"10000000151",UGRD,"0950",Summer Semester 2019,,41635,"41635",EN,,N,0,SUMMER,Fundamentals of CS,CS,0
"10000000152",LAW,"1120",Spring Semester 2025,,34297,"34297",EN,N,N,0,SPRING,Advanced PSYC,PSYC,0
"10000000153",LAW,"0980",Summer Semester 2020,,35017,"35017",DR,P,N,0,SUMMER,Fundamentals of MATH,MATH,0
"10000000154",LAW,"1060",Spring Semester 2023,,50154,"50154",WL,B,N,1,SPRING,Fundamentals of BIO,BIO,0
"10000000155",LAW,"1030",Spring Semester 2022,,43774,"43774",EN,C,C,0,SPRING,Workshop: ENGL,BIO,1
"10000000156",LAW,"0890",Summer Semester 2017,,58562,"58562",DR,P,N,0,SUMMER,Seminar in CS,CS,0
"10000000157",LAW,"1000",Spring Semester 2021,,50628,"50628",WL,B,N,1,SPRING,Lab in BIO,BIO,0
"10000000158",GRAD,"1000",Spring Semester 2021,,43058,"43058",DR,B,N,0,SPRING,Intro to CS,CS,0
"10000000159",LAW,"1040",Summer Semester 2022,,58938,"58938",DR,N,N,0,SUMMER,Special Topics in MATH,MATH,0
"10000000160",GRAD,"0920",Summer Semester 2018,,41142,"41142",WL,B,N,1,SUMMER,Topics in CHEM,CHEM,0
"10000000161",UGRD,"1100",Summer Semester 2024,,31893,"31893",EN,P,P,0,SUMMER,Seminar in ECON,ECON,0
"10000000162",UGRD,"1090",Spring Semester 2024,,51942,"51942",EN,A,A,0,SPRING,Seminar in ENGL,ENGL,0
"10000000163",LAW,"1030",Spring Semester 2022,,32343,"32343",EN,,N,0,SPRING,Advanced HIST,HIST,0
"10000000164",LAW,"0900",Fall Semester 2017,Fall Semester 2017,56163,"56163",EN,C,C,0,FALL,Fundamentals of ART,ART,0
"10000000165",GRAD,"0860",Summer Semester 2016,,31084,"31084",EN,P,P,0,SUMMER,Special Topics in PSYC,ART,1
"10000000166",GRAD,"0820",Spring Semester 2015,,43978,"43978",EN,B,B,0,SPRING,Topics in HIST,HIST,0
"10000000167",LAW,"0960",Fall Semester 2019,,57870,"57870",WL,C,N,1,FALL,Principles of MATH,MATH,0
"10000000168",UGRD,"0960",Fall Semester 2019,,50242,"50242",DR,B,N,0,FALL,Topics in ART,ART,0
"10000000169",GRAD,"0940",Spring Semester 2019,,50365,"50365",WL,C,N,1,SPRING,Fundamentals of PHYS,PHYS,0
"10000000170",LAW,"0940",Spring Semester 2019,,44698,"44698",EN,C,C,0,SPRING,Intro to ENGL,PHYS,1
"10000000171",GRAD,"0960",Fall Semester 2019,,42970,"42970",WL,N,N,1,FALL,Workshop: CHEM,CHEM,0
"10000000172",UGRD,"0840",Fall Semester 2015,,50077,"50077",WL,A,N,1,FALL,Workshop: CHEM,CHEM,0
"10000000173",GRAD,"0990",Fall Semester 2020,Fall Semester 2020,56525,"56525",EN,A,A,0,FALL,Workshop: MATH,MATH,0
"10000000174",UGRD,"1000",Spring Semester 2021,,42996,"42996",EN,A,A,0,SPRING,Principles of PSYC,PSYC,0
"10000000175",LAW,"1100",Summer Semester 2024,,32972,"32972",WL,P,N,1,SUMMER,Fundamentals of ECON,BIO,1
"10000000176",GRAD,"1180",Spring Semester 2027,,33753,"33753",WL,P,N,1,SPRING,Seminar in ECON,ECON,0
"10000000177",GRAD,"1170",Fall Semester 2026,,35336,"35336",DR,P,N,0,FALL,Seminar in BIO,BIO,0
"10000000178",GRAD,"0820",Spring Semester 2015,,33752,"33752",DR,N,N,0,SPRING,Survey of CHEM,CHEM,0
"10000000179",UGRD,"1180",Spring Semester 2027,,40713,"40713",WL,,N,1,SPRING,Topics in HIST,HIST,0
"10000000180",GRAD,"1020",Fall Semester 2021,,42088,"42088",DR,C,N,0,FALL,Lab in CS,CS,0
"10000000181",LAW,"1150",Spring Semester 2026,,53269,"53269",EN,B,B,0,SPRING,Fundamentals of CHEM,CHEM,0
"10000000182",UGRD,"0960",Fall Semester 2019,,42970,"42970",WL,C,N,1,FALL,Workshop: CHEM,CHEM,0
"10000000183",UGRD,"1120",Spring Semester 2025,,57313,"57313",EN,,N,0,SPRING,Intro to HIST,HIST,0
"10000000184",GRAD,"0810",Fall Semester 2014,Fall Semester 2014,54966,"54966",EN,N,N,0,FALL,Topics in CS,CS,0
"10000000185",LAW,"1130",Summer Semester 2025,,56372,"56372",WL,B,N,1,SUMMER,Fundamentals of BIO,ART,1
"10000000186",UGRD,"0900",Fall Semester 2017,Fall Semester 2017,48754,"48754",EN,B,B,0,FALL,Principles of ENGL,ENGL,0
"10000000187",LAW,"1110",Fall Semester 2024,,58920,"58920",WL,P,N,1,FALL,Fundamentals of CS,CS,0
"10000000188",UGRD,"1190",Summer Semester 2027,,44634,"44634",DR,B,N,0,SUMMER,Survey of BIO,BIO,0
"10000000189",LAW,"1000",Spring Semester 2021,,34596,"34596",DR,C,N,0,SPRING,Survey of PHYS,PHYS,0
"10000000190",UGRD,"1120",Spring Semester 2025,,45287,"45287",WL,A,N,1,SPRING,Special Topics in BIO,BIO,0
"10000000191",LAW,"1090",Spring Semester 2024,,43450,"43450",WL,B,N,1,SPRING,Workshop: CS,CS,0
"10000000192",LAW,"1070",Summer Semester 2023,,42559,"42559",WL,B,N,1,SUMMER,Special Topics in MATH,MATH,0
"10000000193",UGRD,"1020",Fall Semester 2021,Fall Semester 2021,35906,"35906",EN,A,A,0,FALL,Seminar in BIO,BIO,0
"10000000194",UGRD,"1030",Spring Semester 2022,,42809,"42809",EN,B,B,0,SPRING,Advanced CS,CHEM,1
"10000000195",UGRD,"0930",Fall Semester 2018,Fall Semester 2018,42211,"42211",EN,B,B,0,FALL,Lab in HIST,HIST,0
"10000000196",GRAD,"1030",Spring Semester 2022,,51712,"51712",DR,C,N,0,SPRING,Fundamentals of PHYS,PHYS,0
"10000000197",UGRD,"0920",Summer Semester 2018,,47836,"47836",WL,B,N,1,SUMMER,Seminar in BIO,BIO,0
"10000000198",GRAD,"1030",Spring Semester 2022,,30775,"30775",DR,C,N,0,SPRING,Special Topics in MATH,MATH,0
"10000000199",UGRD,"1180",Spring Semester 2027,,32776,"32776",DR,A,N,0,SPRING,Lab in ECON,ECON,0
"10000000200",UGRD,"0960",Fall Semester 2019,,38995,"38995",DR,N,N,0,FALL,Principles of PSYC,PSYC,0
"10000000201",UGRD,"1170",Fall Semester 2026,,34109,"34109",DR,B,N,0,FALL,Advanced CHEM,CHEM,0
"10000000202",LAW,"1050",Fall Semester 2022,,52213,"52213",DR,B,N,0,FALL,Survey of ART,CHEM,1
"10000000203",GRAD,"1120",Spring Semester 2025,,46886,"46886",WL,C,N,1,SPRING,Workshop: ART,CS,1
"10000000204",UGRD,"0880",Spring Semester 2017,,53569,"53569",DR,A,N,0,SPRING,Seminar in CHEM,CHEM,0
"10000000205",UGRD,"1020",Fall Semester 2021,,34243,"34243",WL,C,N,1,FALL,Workshop: BIO,BIO,0
"10000000206",UGRD,"1170",Fall Semester 2026,Fall Semester 2026,41953,"41953",EN,N,N,0,FALL,Fundamentals of CS,CS,0
"10000000207",LAW,"1040",Summer Semester 2022,,30647,"30647",WL,,N,1,SUMMER,Fundamentals of ENGL,ENGL,0
"10000000208",GRAD,"0820",Spring Semester 2015,,57583,"57583",EN,B,B,0,SPRING,Fundamentals of PHYS,PHYS,0
"10000000209",GRAD,"1120",Spring Semester 2025,,43929,"43929",DR,,N,0,SPRING,Intro to ENGL,ENGL,0
"10000000210",UGRD,"1130",Summer Semester 2025,,30752,"30752",DR,N,N,0,SUMMER,Advanced BIO,CHEM,1
"10000000211",LAW,"1150",Spring Semester 2026,,59089,"59089",WL,B,N,1,SPRING,Principles of ENGL,ART,1
"10000000212",LAW,"0960",Fall Semester 2019,,55987,"55987",WL,A,N,1,FALL,Special Topics in CHEM,CHEM,0
"10000000213",UGRD,"1080",Fall Semester 2023,,34130,"34130",WL,A,N,1,FALL,Workshop: HIST,HIST,0
"10000000214",GRAD,"1140",Fall Semester 2025,Fall Semester 2025,35960,"35960",EN,N,N,0,FALL,Fundamentals of CHEM,CHEM,0
"10000000215",UGRD,"0840",Fall Semester 2015,Fall Semester 2015,51639,"51639",EN,N,N,0,FALL,Lab in CHEM,CHEM,0
"10000000216",GRAD,"0810",Fall Semester 2014,,59603,"59603",WL,B,N,1,FALL,Seminar in PHYS,BIO,1
